FIPS X Y
12109 0.41 0.27
12111 0.26 0.32
12119 0.57 0.26
12121 0.66 0.27
12123 0.66 0.25
12125 0.72 0.27
12127 0.25 0.17
12129 0.71 0.28
12131 0.72 0.14
12133 0.75 0.19
13001 0.63 0.23
13003 0.61 0.29
13005 0.69 0.13
13007 0.62 0.59
13009 0.38 0.4
13011 0.67 0.07
13013 0.53 0.18
13015 0.49 0.15
13017 0.54 0.33
13019 0.73 0.15
13021 0.42 0.33
13023 0.68 0.28
13025 0.76 0.13
13027 0.64 0.49
13029 0.6 0.37
13031 0.5 0.37
13033 0.37 0.66
13035 0.49 0.47
13037 0.51 0.65
13039 0.51 0.4
13043 0.59 0.35
13045 0.54 0.19
13047 0.69 0.02
13049 0.6 0.32
13051 0.32 0.34
13053 0.58 0.18
13055 0.56 0.09
13057 0.45 0.04
13059 0.23 0.25
13061 0.48 0.62
13063 0.5 0.1
13065 0.64 0.38
13067 0.39 0.07
13069 0.6 0.27
13071 0.68 0.24
13073 0.46 0.36
13075 0.68 0.3
13077 0.51 0.36
13079 0.55 0.58
13081 0.63 0.43
13083 0.73 0.02
13085 0.53 0.0001
13089 0.23 0.09
13087 0.65 0.42
13091 0.6 0.28
13093 0.57 0.53
13095 0.5 0.34
13097 0.57 0.15
13099 0.72 0.52
13101 0.83 0.28
13103 0.65 0.35
13105 0.6 0.34
13107 0.54 0.33
13109 0.59 0.37
13111 0.2 0.0001
13113 0.57 0.3
13115 0.46 0.14
13117 0.54 0.0001
13119 0.64 0.12
13121 0.21 0.35
13123 0.31 0.0001
13125 0.76 0.29
13127 0.43 0.28
13129 0.51 0.06
13131 0.66 0.37
13133 0.35 0.53
13135 0.51 0.08
13137 0.53 0.05
13139 0.41 0.11
13141 0.3 0.75
13143 0.59 0.08
13145 0.47 0.55
13147 0.67 0.25
13149 0.64 0.23
13151 0.45 0.43
13153 0.51 0.22
13155 0.68 0.37
13157 0.56 0.13
13159 0.42 0.54
13161 0.67 0.21
13163 0.4 0.56
13165 0.49 0.5
13167 0.71 0.33
13169 0.5 0.5
13171 0.51 0.4
13173 0.66 0.3
13175 0.52 0.37
13177 0.53 0.63
13179 0.39 0.42
13181 0.59 0.49
13183 0.59 0.33
13185 0.51 0.32
13187 0.49 0.02
13193 0.5 0.63
13195 0.67 0.19
13197 0.66 0.6
13189 0.42 0.42
13191 0.4 0.58
13199 0.47 0.5
13201 0.82 0.29
13205 0.65 0.51
13207 0.44 0.48
13209 0.63 0.41
13211 0.47 0.48
13213 0.46 0.01
13215 0.46 0.24
13217 0.45 0.35
13219 0.55 0.22
13221 0.67 0.45
13223 0.6 0.09
13225 0.42 0.59
13227 0.37 0.04
13229 0.66 0.22
13231 0.6 0.45
13233 0.53 0.16
13235 0.59 0.43
13237 0.43 0.54
13239 0.61 0.64
13241 0.53 0.01
13243 0.48 0.62
13245 0.26 0.31
13247 0.48 0.27
13249 0.57 0.56
13251 0.44 0.52
13253 0.77 0.38
13255 0.45 0.28
13257 0.55 0.14
13259 0.56 0.71
13261 0.53 0.53
13263 0.45 0.7
13265 0.36 0.62
13267 0.65 0.32
13269 0.6 0.48
13271 0.59 0.34
13273 0.5 0.64
13275 0.51 0.41
13277 0.58 0.3
13279 0.6 0.28
13281 0.21 0.0001
13283 0.57 0.33
13285 0.5 0.33
13287 0.69 0.37
13289 0.5 0.6
13291 0.29 0.0001
13293 0.55 0.28
13295 0.61 0.05
13297 0.58 0.3
13299 0.58 0.25
13301 0.44 0.63
13303 0.43 0.57
13305 0.6 0.21
13307 0.69 0.64
13309 0.56 0.33
13311 0.49 0.04
13313 0.34 0.05
13315 0.68 0.33
13317 0.48 0.51
13319 0.55 0.48
13321 0.7 0.48
22001 0.57 0.2
22003 0.58 0.24
22005 0.57 0.32
22007 0.47 0.41
22009 0.55 0.28
22011 0.56 0.22
22013 0.56 0.49
22015 0.59 0.25
22017 0.42 0.36
22019 0.46 0.21
22021 0.61 0.28
22023 0.64 0.06
22025 0.64 0.35
22027 0.55 0.5
22029 0.61 0.46
22031 0.49 0.57
22033 0.45 0.32
22035 0.4 0.61
22037 0.54 0.54
22039 0.64 0.27
22041 0.76 0.41
22043 0.63 0.24
22045 0.42 0.29
22047 0.44 0.49
22049 0.6 0.32
22051 0.46 0.15
22053 0.5 0.21
22059 0.66 0.12
22055 0.39 0.24
22057 0.51 0.12
22061 0.48 0.42
22063 0.81 0.15
22065 0.42 0.65
22067 0.6 0.47
22069 0.47 0.44
22071 0.33 0.37
22073 0.48 0.32
22075 0.75 0.28
22077 0.47 0.54
22079 0.46 0.3
22081 0.66 0.48
22083 0.68 0.44
22085 0.66 0.24
22087 0.69 0.07
22089 0.48 0.27
22091 0.53 0.56
22093 0.42 0.49
22095 0.44 0.52
22097 0.5 0.43
22099 0.49 0.37
22101 0.41 0.31
22103 0.55 0.27
22105 0.62 0.34
22107 0.49 0.65
22109 0.47 0.17
22111 0.64 0.37
22113 0.53 0.13
22115 0.64 0.13
22117 0.7 0.34
22119 0.62 0.35
22121 0.49 0.49
22123 0.78 0.22
22125 0.4 0.66
22127 0.64 0.31
28001 0.5 0.5
28003 0.69 0.13
28005 0.62 0.54
28007 0.69 0.45
28009 0.61 0.47
28011 0.44 0.67
28013 0.88 0.27
28015 0.67 0.58
28017 0.79 0.39
28019 0.8 0.3
28021 0.33 0.76
28023 0.78 0.39
28025 0.64 0.51
28027 0.34 0.68
28029 0.59 0.52
28031 0.76 0.35
28033 0.64 0.61
28035 0.61 0.28
28037 0.71 0.41
28039 0.91 0.12
28041 0.83 0.23
28043 0.61 0.49
28045 0.67 0.16
28047 0.62 0.16
28049 0.53 0.4
28051 0.41 0.72
28053 0.59 0.7
28055 0.48 0.67
28057 0.84 0.06
28059 0.75 0.2
28061 0.7 0.5
28063 0.33 0.75
28065 0.6 0.55
28067 0.68 0.26
28069 0.75 0.59
28071 0.54 0.34
28073 0.83 0.16
28075 0.73 0.35
28077 0.73 0.38
28079 0.72 0.41
28081 0.68 0.25
28083 0.49 0.64
28085 0.73 0.31
28087 0.62 0.38
28089 0.43 0.72
28091 0.7 0.34
28093 0.45 0.7
28095 0.75 0.35
28097 0.69 0.45
28099 0.82 0.22
28101 0.81 0.32
28103 0.56 0.72
28105 0.57 0.44
28107 0.52 0.56
28109 0.73 0.23
28111 0.79 0.28
28113 0.58 0.44
28115 0.78 0.19
28117 0.81 0.12
28119 0.56 0.63
28121 0.75 0.37
28123 0.75 0.38
28125 0.49 0.7
28127 0.72 0.35
28129 0.85 0.23
28131 0.79 0.24
28133 0.52 0.67
28135 0.6 0.64
28137 0.61 0.58
28139 0.79 0.18
28141 0.82 0.05
28143 0.34 0.79
28145 0.77 0.18
28147 0.66 0.45
28149 0.51 0.47
28151 0.41 0.55
28153 0.81 0.36
28155 0.84 0.25
28157 0.38 0.71
28159 0.77 0.43
28161 0.66 0.44
28163 0.61 0.59
37001 0.39 0.17
37003 0.26 0.07
37005 0.24 0.03
37007 0.45 0.48
37009 0.1 0.01
37011 0.15 0.01
37013 0.49 0.37
37015 0.44 0.59
37017 0.46 0.41
37019 0.38 0.35
37021 0.25 0.11
37023 0.26 0.07
37025 0.26 0.16
37027 0.25 0.07
37029 0.55 0.42
37031 0.27 0.12
37033 0.47 0.48
37035 0.22 0.09
37037 0.31 0.31
37039 0.13 0.02
37041 0.46 0.47
37043 0.12 0.01
37045 0.43 0.22
37047 0.45 0.33
37049 0.47 0.28
37051 0.33 0.25
37053 0.57 0.32
37055 0.33 0.07
37057 0.32 0.11
37059 0.32 0.12
37061 0.5 0.38
37063 0.32 0.32
37065 0.41 0.52
37067 0.23 0.24
37069 0.57 0.44
37071 0.33 0.13
37073 0.44 0.54
37075 0.12 0.0001
37077 0.48 0.44
37079 0.57 0.5
37081 0.23 0.21
37083 0.47 0.54
37085 0.42 0.27
37087 0.25 0.02
37089 0.24 0.05
37091 0.33 0.59
37093 0.34 0.49
37095 0.42 0.42
37097 0.37 0.18
37099 0.14 0.02
37101 0.45 0.22
37103 0.53 0.47
37105 0.42 0.22
37107 0.51 0.4
37109 0.24 0.12
37113 0.18 0.02
37115 0.16 0.01
37117 0.47 0.5
37111 0.29 0.05
37119 0.19 0.25
37121 0.12 0.0001
37123 0.29 0.25
37125 0.27 0.26
37127 0.48 0.4
37129 0.34 0.28
37131 0.38 0.64
37133 0.45 0.13
37135 0.21 0.24
37137 0.42 0.37
37139 0.47 0.4
37141 0.48 0.48
37143 0.51 0.47
37145 0.46 0.35
37147 0.41 0.44
37149 0.27 0.13
37151 0.27 0.08
37153 0.43 0.3
37155 0.34 0.3
37157 0.39 0.21
37159 0.28 0.17
37161 0.27 0.12
37163 0.28 0.36
37165 0.34 0.41
37167 0.26 0.11
37169 0.32 0.1
37171 0.22 0.06
37173 0.16 0.01
37175 0.27 0.05
37177 0.32 0.44
37179 0.35 0.21
37181 0.46 0.44
37183 0.26 0.26
37185 0.43 0.63
37187 0.39 0.45
37189 0.12 0.01
37191 0.44 0.37
37193 0.15 0.06
37195 0.49 0.4
37197 0.25 0.05
37199 0.14 0.01
45001 0.55 0.32
45003 0.32 0.26
45005 0.24 0.63
45007 0.53 0.2
45009 0.34 0.56
45011 0.4 0.43
45013 0.18 0.38
45015 0.35 0.5
45017 0.32 0.67
45019 0.24 0.36
45021 0.54 0.21
45023 0.33 0.4
45025 0.43 0.37
45027 0.27 0.68
45029 0.33 0.51
45031 0.37 0.44
45033 0.32 0.46
45035 0.33 0.49
45037 0.26 0.58
45039 0.22 0.6
45041 0.31 0.43
45043 0.26 0.52
45045 0.25 0.18
45047 0.41 0.3
45049 0.28 0.54
45051 0.46 0.27
45053 0.35 0.62
45055 0.37 0.4
45057 0.38 0.27
45059 0.35 0.3
45061 0.39 0.66
45063 0.35 0.17
45067 0.22 0.55
45069 0.33 0.48
45065 0.34 0.62
45071 0.35 0.35
45073 0.51 0.11
45075 0.34 0.6
45077 0.33 0.1
45079 0.14 0.32
45081 0.44 0.37
45083 0.37 0.22
45085 0.29 0.47
45087 0.46 0.3
45089 0.25 0.66
45091 0.35 0.28
47001 0.2 0.03
47003 0.49 0.12
47005 0.47 0.03
47007 0.23 0.06
47009 0.2 0.05
47011 0.3 0.05
47013 0.18 0.01
47015 0.48 0.02
47017 0.37 0.14
47019 0.21 0.01
47021 0.63 0.07
47023 0.47 0.13
47025 0.15 0.02
47027 0.23 0.02
47029 0.15 0.03
47031 0.43 0.04
47033 0.64 0.24
47035 0.24 0.0001
47037 0.35 0.19
47041 0.39 0.03
47039 0.4 0.06
47043 0.51 0.07
47045 0.55 0.15
47047 0.46 0.69
47049 0.23 0.0001
47051 0.54 0.09
47053 0.47 0.22
47055 0.53 0.18
47057 0.14 0.01
47059 0.2 0.03
47061 0.46 0.0001
47063 0.2 0.06
47065 0.38 0.2
47067 0.12 0.01
47069 0.5 0.39
47071 0.36 0.06
47073 0.18 0.03
47075 0.49 0.61
47077 0.3 0.11
47079 0.4 0.15
47081 0.56 0.05
47083 0.52 0.08
47085 0.48 0.05
47087 0.34 0.0001
47089 0.15 0.04
47091 0.1 0.01
47093 0.2 0.09
47095 0.52 0.23
47097 0.53 0.38
47099 0.38 0.02
47101 0.39 0.02
47103 0.58 0.13
47105 0.25 0.02
47111 0.28 0.01
47113 0.45 0.34
47115 0.43 0.06
47117 0.55 0.12
47119 0.56 0.2
47107 0.22 0.05
47109 0.4 0.07
47121 0.27 0.05
47123 0.14 0.04
47125 0.39 0.19
47127 0.6 0.09
47129 0.27 0.02
47131 0.5 0.12
47133 0.29 0.01
47135 0.39 0.04
47137 0.13 0.0001
47139 0.19 0.0001
47141 0.3 0.02
47143 0.37 0.04
47145 0.3 0.04
47147 0.49 0.18
47149 0.46 0.14
47151 0.18 0.0001
47153 0.45 0.0001
47155 0.14 0.01
47157 0.33 0.36
47159 0.42 0.05
47161 0.42 0.03
47163 0.25 0.02
47165 0.46 0.11
47167 0.59 0.39
47169 0.41 0.17
47171 0.17 0.0001
47173 0.15 0.0001
47175 0.45 0.01
47177 0.49 0.05
47179 0.22 0.04
47181 0.29 0.02
47183 0.48 0.07
47185 0.37 0.03
47187 0.5 0.2
47189 0.5 0.15
48001 0.34 0.3
48003 0.36 0.02
48005 0.38 0.18
48007 0.15 0.04
48009 0.18 0.0001
48011 0.22 0.0001
48013 0.15 0.01
48015 0.25 0.21
48017 0.22 0.04
48019 0.24 0.01
48021 0.19 0.31
48023 0.2 0.04
48025 0.11 0.02
48027 0.17 0.11
48029 0.09 0.07
48031 0.15 0.03
48033 0.29 0.0001
48035 0.19 0.03
48037 0.37 0.24
48039 0.27 0.12
48041 0.16 0.21
48043 0.16 0.01
48045 0.19 0.05
48047 0.06 0.0001
48049 0.19 0.03
48051 0.21 0.31
48053 0.16 0.02
48055 0.16 0.15
48057 0.2 0.05
48059 0.24 0.0001
48061 0.07 0.01
48063 0.37 0.38
48065 0.21 0.0001
48067 0.39 0.3
48069 0.22 0.04
48071 0.37 0.22
48073 0.39 0.26
48075 0.23 0.06
48077 0.21 0.01
48079 0.28 0.05
48081 0.18 0.0001
48083 0.28 0.03
48085 0.24 0.11
48087 0.25 0.09
48089 0.21 0.25
48091 0.11 0.02
48093 0.17 0.0001
48095 0.18 0.0001
48097 0.18 0.04
48099 0.2 0.05
48101 0.21 0.08
48103 0.42 0.05
48105 0.21 0.03
48107 0.14 0.08
48109 0.19 0.0001
48111 0.21 0.01
48113 0.15 0.14
48115 0.2 0.06
48123 0.15 0.14
48117 0.15 0.02
48119 0.25 0.14
48121 0.17 0.06
48125 0.19 0.05
48127 0.11 0.01
48129 0.16 0.05
48131 0.03 0.0001
48133 0.16 0.02
48135 0.35 0.05
48137 0.13 0.0001
48141 0.08 0.03
48139 0.24 0.24
48143 0.15 0.01
48145 0.24 0.33
48147 0.23 0.1
48149 0.27 0.14
48151 0.11 0.05
48153 0.23 0.07
48155 0.17 0.09
48157 0.21 0.2
48159 0.25 0.08
48161 0.26 0.39
48163 0.13 0.01
48165 0.29 0.03
48167 0.2 0.21
48169 0.23 0.05
48171 0.11 0.0001
48173 0.38 0.01
48175 0.1 0.12
48177 0.22 0.18
48179 0.22 0.03
48181 0.2 0.09
48183 0.35 0.23
48185 0.28 0.38
48187 0.14 0.11
48189 0.22 0.05
48191 0.2 0.13
48193 0.16 0.0001
48195 0.2 0.0001
48197 0.21 0.12
48199 0.45 0.16
48201 0.18 0.2
48203 0.38 0.43
48205 0.23 0.0001
48207 0.19 0.06
48209 0.1 0.06
48211 0.15 0.0001
48213 0.31 0.21
48215 0.07 0.0001
48217 0.25 0.16
48219 0.24 0.06
48221 0.19 0.01
48223 0.3 0.13
48225 0.33 0.38
48227 0.27 0.04
48229 0.19 0.0001
48231 0.27 0.16
48233 0.29 0.02
48235 0.19 0.01
48237 0.2 0.01
48239 0.27 0.12
48241 0.4 0.25
48243 0.13 0.0001
48245 0.28 0.23
48247 0.03 0.0001
48249 0.09 0.01
48251 0.22 0.05
48253 0.19 0.06
48255 0.16 0.03
48257 0.29 0.3
48259 0.15 0.01
48261 0.04 0.0001
48263 0.3 0.03
48265 0.16 0.04
48267 0.19 0.0001
48269 0.32 0.07
48271 0.11 0.08
48273 0.08 0.03
48275 0.15 0.07
48283 0.1 0.0001
48277 0.27 0.19
48279 0.23 0.08
48281 0.16 0.03
48285 0.27 0.1
48287 0.21 0.24
48289 0.29 0.38
48291 0.35 0.23
48293 0.25 0.28
48295 0.12 0.0001
48297 0.21 0.0001
48299 0.16 0.01
48301 0.49 0.04
48303 0.18 0.08
48305 0.19 0.06
48313 0.32 0.33
48315 0.34 0.52
48317 0.43 0.04
48319 0.11 0.01
48321 0.21 0.21
48323 0.07 0.0001
48307 0.14 0.04
48309 0.18 0.16
48311 0.23 0.0001
48325 0.14 0.01
48327 0.12 0.01
48329 0.24 0.09
48331 0.24 0.18
48333 0.18 0.0001
48335 0.17 0.07
48337 0.18 0.0001
48339 0.37 0.23
48341 0.25 0.0001
48343 0.32 0.27
48345 0.27 0.09
48347 0.32 0.27
48349 0.22 0.25
48351 0.43 0.33
48353 0.2 0.04
48355 0.11 0.05
48357 0.16 0.0001
48359 0.29 0.0001
48361 0.42 0.1
48363 0.17 0.04
48365 0.45 0.31
48367 0.21 0.02
48369 0.24 0.03
48371 0.22 0.01
48373 0.37 0.29
48375 0.2 0.07
48377 0.08 0.0001
48379 0.25 0.1
48381 0.17 0.0001
48383 0.26 0.07
48385 0.19 0.0001
48387 0.3 0.24
48389 0.21 0.04
48391 0.15 0.09
48393 0.22 0.0001
48395 0.2 0.41
48397 0.29 0.24
48399 0.17 0.03
48401 0.38 0.29
48403 0.38 0.26
48405 0.46 0.39
48407 0.3 0.52
48409 0.15 0.02
48411 0.22 0.01
48413 0.19 0.03
48415 0.22 0.03
48417 0.18 0.03
48419 0.47 0.26
48421 0.27 0.0001
48423 0.31 0.27
48425 0.23 0.0001
48427 0.01 0.0001
48429 0.17 0.04
48431 0.14 0.01
48433 0.24 0.04
48435 0.16 0.01
48437 0.18 0.04
48439 0.15 0.11
48441 0.17 0.05
48443 0.25 0.0001
48445 0.19 0.04
48447 0.12 0.0001
48449 0.33 0.18
48451 0.16 0.05
48453 0.1 0.13
48455 0.36 0.27
48457 0.39 0.21
48459 0.42 0.26
48461 0.29 0.04
48463 0.16 0.01
48465 0.1 0.03
48467 0.31 0.08
48469 0.16 0.09
48471 0.25 0.33
48473 0.23 0.54
48475 0.32 0.03
48477 0.12 0.32
48479 0.03 0.0001
48481 0.19 0.21
48483 0.22 0.04
48485 0.18 0.07
48487 0.25 0.09
48489 0.13 0.01
48491 0.16 0.14
48493 0.13 0.02
48495 0.35 0.03
48497 0.19 0.01
48499 0.32 0.16
48501 0.29 0.01
48503 0.19 0.02
48505 0.04 0.0001
48507 0.1 0.01
