Y X N W1 W2
0.8552 0.1821 14523 0.7259 0.884
0.7966 0.2922 19093 0.6078 0.8745
0.5685 0.8022 20787 0.4666 0.982
0.7626 0.4731 26777 0.624 0.887
0.7641 0.3608 21781 0.5399 0.8906
0.7606 0.4047 34799 0.5841 0.8805
0.8377 0.1951 25780 0.6962 0.872
0.7689 0.4204 10163 0.589 0.8993
0.6345 0.8064 24815 0.5552 0.9644
0.911 0.2591 11866 0.7625 0.9629
0.8668 0.5366 18110 0.7839 0.9628
0.8619 0.3161 10045 0.6844 0.944
0.8228 0.3487 6785 0.6095 0.9371
0.6932 0.8067 16691 0.6601 0.8314
0.8846 0.3042 16784 0.7391 0.9482
0.8431 0.3095 9215 0.6473 0.9309
0.8262 0.4411 16580 0.6659 0.9527
0.844 0.3692 15765 0.7856 0.8782
0.9075 0.0531 19911 0.7483 0.9164
0.8959 0.0927 17007 0.7502 0.9108
0.8133 0.8471 17194 0.7887 0.9498
0.8511 0.4415 10208 0.7464 0.9339
0.8942 0.3574 8830 0.743 0.9783
0.6898 0.7962 11585 0.6212 0.9576
0.8068 0.5353 15609 0.6723 0.9617
0.9039 0.1903 16328 0.7909 0.9305
0.9259 0.187 21353 0.8428 0.945
0.9151 0.1073 6340 0.7809 0.9313
0.8581 0.4869 20002 0.7361 0.9738
0.9141 0.1373 10633 0.8103 0.9307
0.8984 0.2031 11792 0.7445 0.9376
0.9189 0.056 17568 0.7713 0.9277
0.8625 0.2736 16954 0.776 0.8951
0.8076 0.7142 39918 0.7413 0.9734
0.8552 0.5264 9985 0.7574 0.9638
0.8562 0.7843 18208 0.8291 0.9547
0.8138 0.674 11030 0.7382 0.97
0.8238 0.4197 9735 0.662 0.9409
0.8448 0.4056 19982 0.6896 0.9507
0.8348 0.3763 14424 0.6588 0.941
0.7861 0.4602 22686 0.6669 0.8877
0.8006 0.6327 14707 0.7234 0.9335
0.843 0.341 13251 0.631 0.9527
0.8652 0.5541 15419 0.7856 0.9642
0.8839 0.1016 6406 0.745 0.8996
0.8105 0.7838 25841 0.7659 0.9723
0.9037 0.0767 8644 0.7541 0.9162
0.938 0.1765 9305 0.8234 0.9625
0.8906 0.0787 16909 0.7911 0.8991
0.8888 0.3233 9917 0.7723 0.9444
0.8953 0.412 68630 0.7876 0.9707
0.7962 0.6837 16656 0.7335 0.9319
0.8824 0.1197 11699 0.7407 0.9016
0.9426 0.1122 38881 0.8221 0.9579
0.914 0.1355 11422 0.7319 0.9426
0.7948 0.4321 21282 0.5936 0.9478
0.9266 0.0769 20369 0.7518 0.9411
0.8267 0.5829 14471 0.7419 0.9452
0.8958 0.0704 18151 0.7212 0.909
0.9042 0.2204 26199 0.7164 0.9573
0.9315 0.1303 100440 0.7765 0.9547
0.8944 0.1623 36441 0.6987 0.9323
0.8259 0.557 25308 0.7302 0.9461
0.779 0.2536 3222 0.6463 0.8241
0.8698 0.2847 9971 0.752 0.9167
0.9373 0.2999 3715 0.8285 0.9839
0.8303 0.2903 5098 0.7155 0.8773
0.7789 0.5583 5157 0.654 0.9368
0.8622 0.4062 4476 0.7618 0.9308
0.8472 0.472 12667 0.726 0.9556
0.9585 0.3567 9605 0.8943 0.994
0.9427 0.1757 10399 0.8232 0.9682
0.9154 0.5007 61589 0.8437 0.9873
0.8909 0.4094 29170 0.7988 0.9548
0.8049 0.4936 4151 0.673 0.9334
0.7078 0.6601 16178 0.5967 0.9234
0.7867 0.4645 8316 0.6259 0.9261
0.8496 0.5545 3690 0.74 0.986
0.9188 0.2208 60426 0.8528 0.9376
0.7722 0.1139 7896 0.5929 0.7952
0.7426 0.4821 20782 0.5896 0.8851
0.7822 0.7521 12377 0.7188 0.9746
0.8612 0.2118 4684 0.6825 0.9093
0.8699 0.3794 7440 0.6989 0.9744
0.956 0.1608 4752 0.9359 0.9599
0.7522 0.7545 14723 0.681 0.9712
0.8458 0.4617 7550 0.7372 0.939
0.8165 0.4665 3220 0.7024 0.9162
0.7513 0.5451 11722 0.6111 0.9194
0.9231 0.2628 7245 0.782 0.9734
0.8559 0.6004 20230 0.7714 0.9828
0.9113 0.2695 16472 0.855 0.9321
0.824 0.5412 7733 0.7317 0.9329
0.9153 0.3841 14989 0.8043 0.9846
0.9205 0.1701 4279 0.7088 0.964
0.9443 0.4087 4434 0.8808 0.9882
0.8469 0.3428 5717 0.6337 0.9582
0.9333 0.3176 18370 0.8315 0.9806
0.892 0.5149 10182 0.8163 0.9723
0.8913 0.4235 10444 0.7834 0.9706
0.9336 0.2237 3058 0.8114 0.9688
0.8358 0.3005 10576 0.6611 0.9108
0.89 0.3348 4883 0.7309 0.9701
0.8108 0.4197 13110 0.6487 0.928
0.7913 0.4058 5170 0.6192 0.9089
0.8954 0.3928 13146 0.7711 0.9758
0.8147 0.5034 3335 0.701 0.93
0.8083 0.3048 11620 0.6242 0.889
0.8502 0.3063 11445 0.7233 0.9062
0.8341 0.241 8332 0.6713 0.8858
0.566 0.7216 5647 0.4402 0.8919
0.7222 0.5683 14236 0.5765 0.9139
0.7975 0.2004 7674 0.6664 0.8303
0.8055 0.2523 18106 0.6718 0.8506
0.8474 0.41 8807 0.7081 0.9442
0.825 0.2809 15620 0.6433 0.8959
0.8774 0.4885 44705 0.7821 0.9684
0.747 0.5787 16612 0.6164 0.9264
0.7759 0.4991 4664 0.6207 0.9307
0.8509 0.3937 17895 0.7075 0.9441
0.6805 0.8168 19701 0.6183 0.9579
0.8042 0.5142 9705 0.6525 0.9648
0.5961 0.7272 8031 0.4574 0.9658
0.764 0.6677 5441 0.6802 0.9325
0.8285 0.3212 7831 0.6394 0.918
0.8555 0.2025 21574 0.6635 0.9042
0.9239 0.0641 5400 0.763 0.9349
0.7759 0.2706 3355 0.5264 0.8684
0.8274 0.557 64585 0.7059 0.9802
0.6943 0.677 3876 0.5987 0.8946
0.8557 0.1805 9675 0.7314 0.8831
0.8752 0.0684 11733 0.6214 0.8939
0.8001 0.4965 17574 0.6669 0.9314
0.6916 0.7155 6320 0.5927 0.9405
0.821 0.4378 7535 0.6372 0.9641
0.7934 0.413 5974 0.6737 0.8777
0.8756 0.26 20841 0.7223 0.9295
0.7816 0.3666 15111 0.6289 0.87
0.84 0.243 13780 0.6581 0.8984
0.6916 0.7371 8734 0.6028 0.9403
0.7654 0.5532 20643 0.6258 0.9382
0.7272 0.5755 5715 0.5908 0.9122
0.8042 0.5319 11877 0.6676 0.9595
0.8553 0.0682 2917 0.6432 0.8709
0.7547 0.575 20586 0.6217 0.9345
0.8526 0.3003 20478 0.6249 0.9504
0.7588 0.422 13806 0.582 0.8878
0.6872 0.6128 14344 0.5371 0.9247
0.5461 0.7445 12429 0.3963 0.983
0.8832 0.2375 6421 0.7416 0.9273
0.734 0.6144 12549 0.6156 0.9227
0.8214 0.311 2363 0.6803 0.8851
0.7886 0.4236 7132 0.5647 0.9531
0.7817 0.4941 16765 0.6173 0.9422
0.7615 0.3987 17188 0.5621 0.8937
0.8119 0.34 7645 0.6252 0.908
0.8547 0.2878 26924 0.7095 0.9134
0.832 0.0908 8248 0.6088 0.8542
0.817 0.2233 12282 0.6276 0.8715
0.9084 0.334 142942 0.78 0.9728
0.7596 0.3175 3219 0.5587 0.853
0.8106 0.6173 12004 0.707 0.9778
0.8812 0.0885 11242 0.6543 0.9033
0.7792 0.3925 12665 0.6019 0.8937
0.6964 0.6178 13529 0.5257 0.9723
0.8364 0.1522 20377 0.6125 0.8766
0.8613 0.0743 7050 0.7424 0.8708
0.849 0.1566 18465 0.6531 0.8854
0.7386 0.7277 13459 0.6521 0.9697
0.8843 0.1521 9449 0.7397 0.9103
0.7109 0.6983 12700 0.603 0.9608
0.7711 0.318 11118 0.6168 0.843
0.7927 0.3391 7625 0.6292 0.8766
0.7819 0.5048 14327 0.6286 0.9381
0.7001 0.7221 16765 0.5943 0.9749
0.7649 0.4765 7202 0.6233 0.8939
0.8238 0.2798 21107 0.6475 0.8922
0.6857 0.6811 11742 0.5544 0.9663
0.8197 0.2683 4204 0.641 0.8852
0.7999 0.5946 14949 0.7159 0.9229
0.688 0.6382 8257 0.5565 0.92
0.7879 0.4282 8858 0.6494 0.8916
0.7109 0.694 9150 0.6044 0.9525
0.7667 0.491 24493 0.6166 0.9116
0.5747 0.8537 8529 0.5097 0.9543
0.8266 0.6461 9252 0.7405 0.9838
0.742 0.5904 5999 0.5807 0.9744
0.8343 0.5209 17687 0.7296 0.9482
0.7838 0.0574 3886 0.6816 0.7901
0.804 0.5774 7613 0.7138 0.9273
0.8146 0.7633 4665 0.7616 0.9855
0.6883 0.6868 10733 0.5678 0.9527
0.7616 0.3033 11399 0.5618 0.8485
0.6567 0.5686 6367 0.4691 0.9039
0.7263 0.5716 17651 0.566 0.9402
0.6969 0.4023 5362 0.4316 0.8755
0.8675 0.0912 5079 0.7495 0.8793
0.7086 0.5334 15533 0.5412 0.9001
0.7223 0.6479 14315 0.5931 0.9601
0.8391 0.3703 13378 0.7148 0.9123
0.6791 0.677 14286 0.5464 0.9573
0.8276 0.4579 28077 0.6796 0.9526
0.797 0.5052 13188 0.6566 0.9404
0.7449 0.4598 7707 0.566 0.8972
0.7085 0.601 13043 0.5677 0.9206
0.824 0.1105 9623 0.7187 0.837
0.8239 0.0515 6214 0.7594 0.8275
0.8682 0.2726 7366 0.7037 0.9298
0.7589 0.5062 14044 0.5665 0.9562
0.827 0.284 14232 0.6964 0.8788
0.6933 0.588 16179 0.5321 0.9235
0.6306 0.7207 9904 0.5013 0.9642
0.6408 0.7591 3146 0.5595 0.8971
0.6733 0.6679 13356 0.5364 0.9486
0.8703 0.4911 47837 0.7737 0.9635
0.8353 0.3907 6337 0.6874 0.9301
0.7965 0.6158 3675 0.6911 0.9653
0.7066 0.5884 13833 0.5409 0.9436
0.7735 0.5007 14511 0.6245 0.9229
0.8716 0.229 6729 0.8034 0.8919
0.7663 0.7493 9446 0.6955 0.9776
0.7516 0.7185 21263 0.6643 0.9744
0.6935 0.6802 8249 0.57 0.9564
0.7275 0.7232 6264 0.6296 0.9833
0.8544 0.3148 12603 0.684 0.9327
0.7476 0.4775 7571 0.5544 0.9242
0.8414 0.3564 9292 0.6739 0.9341
0.6202 0.7396 15841 0.4974 0.969
0.7719 0.5836 21134 0.6322 0.9677
0.8237 0.3362 8060 0.6336 0.92
0.7842 0.3132 7762 0.5117 0.9085
0.7666 0.578 19145 0.6234 0.9627
0.7758 0.4023 6913 0.5592 0.9216
0.7084 0.6783 7566 0.6165 0.9022
0.7878 0.5372 9069 0.6619 0.934
0.8939 0.1328 13446 0.7766 0.9118
0.7977 0.3897 17844 0.5877 0.9318
0.8504 0.4015 16823 0.7296 0.9314
0.7713 0.6664 8471 0.6771 0.9597
0.7567 0.6104 19938 0.6391 0.9412
0.841 0.2648 8946 0.6885 0.896
0.7245 0.6655 4257 0.6149 0.9424
0.8481 0.0736 3562 0.7481 0.8561
0.874 0.1069 11472 0.7423 0.8898
0.7741 0.4134 9370 0.5844 0.9078
0.6253 0.6992 16796 0.4766 0.9709
0.7497 0.4966 7116 0.5716 0.9255
0.7861 0.4963 13386 0.6255 0.9444
0.9076 0.3555 18260 0.8098 0.9615
0.9383 0.0827 26550 0.8246 0.9486
0.9313 0.1869 10880 0.7875 0.9643
0.8815 0.3815 11753 0.7732 0.9483
0.9568 0.0569 22638 0.7919 0.9667
0.9595 0.071 95278 0.8586 0.9672
0.9624 0.0915 24256 0.8622 0.9725
0.9705 0.0582 24765 0.7989 0.9811
0.9703 0.0899 221162 0.8734 0.9799
0.967 0.0882 63809 0.8116 0.9821
0.966 0.0966 19152 0.9665 0.966
0.9773 0.1106 22739 0.8978 0.9872
0.9822 0.052 19032 0.8556 0.9891
0.9761 0.0943 20496 0.8473 0.9895
0.9706 0.0736 6265 0.9284 0.974
0.9772 0.0566 25036 0.8326 0.9859
0.9697 0.1032 34389 0.8611 0.9822
0.9908 0.0657 3165 0.9615 0.9929
0.9806 0.0605 39158 0.9076 0.9853
0.9757 0.0934 50947 0.8997 0.9835
0.9807 0.0547 9923 0.8785 0.9866
0.9601 0.1159 80378 0.884 0.97
0.8323 0.0906 11866 0.6074 0.8547
0.8161 0.0599 11152 0.6512 0.8266
0.9191 0.0797 7650 0.7656 0.9324
0.901 0.1251 9446 0.7073 0.9287
0.8574 0.1418 18797 0.6597 0.89
0.8459 0.0989 10431 0.6686 0.8654
0.7912 0.1167 19870 0.7558 0.7959
0.8736 0.3304 14028 0.699 0.9598
0.8685 0.2894 11600 0.7066 0.9345
0.8877 0.0792 15497 0.7663 0.8982
0.882 0.0713 7078 0.6812 0.8975
0.8887 0.1824 10639 0.7311 0.9239
0.9101 0.0558 14432 0.7043 0.9223
0.9325 0.0636 6388 0.7217 0.9468
0.8136 0.4066 30099 0.6792 0.9058
0.9041 0.257 14154 0.7295 0.9645
0.8032 0.11 6920 0.7135 0.8143
0.9213 0.1339 31644 0.7572 0.9467
0.8762 0.3176 40077 0.7146 0.9514
0.8912 0.0649 12333 0.6737 0.9063
0.8667 0.1921 17125 0.6812 0.9109
0.8724 0.2383 10745 0.6595 0.939
0.8845 0.0594 3635 0.6759 0.8976
0.9057 0.2013 8847 0.7962 0.9333
0.9084 0.0861 24610 0.74 0.9243
0.8444 0.1137 8645 0.6612 0.8679
0.8904 0.0693 6439 0.6816 0.9059
0.9009 0.0818 17076 0.7156 0.9173
0.6868 0.0729 6966 0.4626 0.7044
0.9214 0.1077 13264 0.722 0.9454
0.878 0.1083 13164 0.7363 0.8952
0.8955 0.2359 22707 0.722 0.9491
0.878 0.1338 10839 0.6076 0.9198
0.8792 0.1493 8741 0.6582 0.918
0.8684 0.1976 26234 0.7454 0.8987
0.9435 0.1831 217506 0.8033 0.9749
0.8635 0.2429 9957 0.704 0.9147
0.7924 0.052 15089 0.7513 0.7947
0.8739 0.0697 7932 0.6582 0.8901
0.865 0.1703 13338 0.7252 0.8936
0.8888 0.0618 7831 0.719 0.9
0.8537 0.2163 19083 0.6804 0.9016
0.8597 0.206 7047 0.6894 0.9038
0.9173 0.2355 27783 0.7707 0.9624
0.8996 0.0578 9741 0.6643 0.914
0.8711 0.2159 20168 0.7542 0.9033
0.8468 0.1411 12020 0.5825 0.8902
0.9247 0.1566 15080 0.7039 0.9656
0.9143 0.0707 7268 0.7335 0.928
0.9194 0.1601 10904 0.6999 0.9612
0.8356 0.0748 7499 0.6257 0.8526
0.8626 0.2581 10137 0.698 0.9198
0.8517 0.106 20921 0.7384 0.8651
0.8807 0.1776 12664 0.703 0.9191
0.8815 0.0894 8275 0.6365 0.9055
0.9147 0.1515 5922 0.6678 0.9588
0.8925 0.0659 10985 0.6395 0.9103
0.7976 0.0614 4427 0.6838 0.8051
0.8846 0.2496 13482 0.7082 0.9433
0.8791 0.2265 14144 0.6133 0.9569
0.8608 0.1829 8922 0.6446 0.9092
0.8653 0.1038 5577 0.6356 0.892
0.8594 0.1228 8842 0.7099 0.8804
0.8162 0.3233 12557 0.6746 0.8838
0.8733 0.2272 10483 0.7632 0.9057
0.9155 0.1288 14868 0.7347 0.9423
0.8507 0.2049 23798 0.6336 0.9066
0.8845 0.1286 10278 0.6853 0.9139
0.9124 0.1342 15573 0.7923 0.931
0.8405 0.3077 9806 0.6606 0.9205
0.4982 0.2086 21422 0.278 0.5563
0.6643 0.4912 17375 0.4882 0.8343
0.5638 0.4379 17347 0.4922 0.6195
0.617 0.3602 23248 0.4338 0.7201
0.7556 0.4213 14877 0.4645 0.9675
0.5574 0.7682 15754 0.4347 0.9641
0.7225 0.614 44618 0.569 0.9667
0.7852 0.2738 45178 0.6018 0.8543
0.8096 0.3973 6044 0.6135 0.9388
0.6104 0.1217 2934 0.3894 0.6411
0.6143 0.5005 7125 0.3029 0.9264
0.6798 0.5723 17037 0.4648 0.9673
0.452 0.8465 10858 0.3666 0.9232
0.6541 0.6366 19481 0.4795 0.9599
0.7042 0.6144 26028 0.5544 0.9427
0.536 0.892 9066 0.4847 0.9591
0.6035 0.6886 14157 0.4623 0.9158
0.6418 0.4533 8356 0.3205 0.9083
0.7472 0.316 11157 0.4101 0.9029
0.5671 0.4682 22383 0.4488 0.6712
0.5472 0.6403 23150 0.4222 0.7696
0.8233 0.2817 9367 0.562 0.9258
0.6922 0.3918 13658 0.5313 0.7958
0.8708 0.2163 6431 0.6751 0.9248
0.4644 0.3716 19620 0.2012 0.62
0.5878 0.2663 23164 0.4863 0.6247
0.7835 0.3796 12871 0.5059 0.9534
0.8015 0.1319 7273 0.5308 0.8426
0.4931 0.8873 8302 0.4411 0.9028
0.5461 0.7423 13563 0.404 0.9557
0.6026 0.5561 25443 0.3981 0.8588
0.931 0.2684 274998 0.8166 0.9729
0.7653 0.5441 19388 0.6064 0.9549
0.5715 0.5311 9041 0.3659 0.8044
0.4757 0.6832 18318 0.3417 0.7648
0.7331 0.4871 32222 0.5332 0.923
0.6135 0.5483 7747 0.3543 0.9283
0.5465 0.6667 11175 0.3607 0.9181
0.8218 0.2146 13739 0.6072 0.8805
0.6162 0.3788 3788 0.4599 0.7114
0.5879 0.6133 7960 0.4898 0.7437
0.7599 0.4841 6180 0.5284 0.9771
0.6233 0.5924 16717 0.5117 0.7854
0.6103 0.5706 10463 0.4496 0.8239
0.4391 0.4694 44930 0.2865 0.5742
0.4898 0.4282 15632 0.3701 0.5794
0.6181 0.5561 28751 0.5135 0.749
0.8286 0.3552 13754 0.6517 0.926
0.7835 0.3228 21137 0.5752 0.8828
0.4055 0.9132 13106 0.3522 0.9675
0.6127 0.4124 20165 0.5492 0.6572
0.8663 0.3464 13894 0.7039 0.9523
0.5494 0.1725 17781 0.3828 0.5841
0.8648 0.2345 12341 0.7357 0.9044
0.835 0.2957 13232 0.6463 0.9143
0.7635 0.4963 13436 0.5576 0.9665
0.5148 0.7378 9344 0.3938 0.8551
0.8662 0.4437 4424 0.7896 0.9273
0.5106 0.8011 9812 0.4032 0.9431
0.8403 0.2279 12814 0.6065 0.9093
0.8617 0.3463 29797 0.7029 0.9458
0.9488 0.1064 97157 0.7827 0.9686
0.9555 0.1569 456882 0.8684 0.9717
0.8105 0.4735 7463 0.674 0.9333
0.8747 0.2368 14570 0.7116 0.9253
0.96 0.0553 26840 0.7916 0.9698
0.9371 0.1346 18910 0.7129 0.972
0.7653 0.5008 11577 0.5899 0.9413
0.8585 0.318 21887 0.726 0.9202
0.943 0.0984 40824 0.7518 0.9639
0.937 0.1784 22296 0.7549 0.9765
0.9249 0.2217 12364 0.7618 0.9714
0.867 0.3524 13390 0.6886 0.964
0.9059 0.2739 24652 0.7247 0.9742
0.8837 0.3001 26933 0.6949 0.9647
0.839 0.337 12860 0.6357 0.9424
0.7645 0.4171 11936 0.58 0.8965
0.833 0.3442 20112 0.6539 0.9271
0.8648 0.3333 15462 0.6666 0.9639
0.8624 0.222 20672 0.7144 0.9047
0.8012 0.3024 16691 0.5941 0.8909
0.9712 0.0679 17004 0.8787 0.9779
0.6973 0.7386 19421 0.597 0.9807
0.8809 0.2388 13271 0.7706 0.9156
0.7571 0.5369 15637 0.5906 0.9502
0.8153 0.4477 19991 0.669 0.9339
0.8427 0.4826 7221 0.7337 0.9443
0.6758 0.8797 37924 0.6398 0.9389
0.8794 0.2083 12136 0.6511 0.9395
0.7867 0.5727 16009 0.6591 0.9577
0.8365 0.5453 15778 0.725 0.9703
0.867 0.2794 9919 0.6828 0.9384
0.7172 0.7737 12645 0.6422 0.9738
0.8472 0.4658 15140 0.7306 0.9488
0.7775 0.6848 14776 0.681 0.9873
0.7124 0.8834 26268 0.6773 0.9781
0.7787 0.5377 25355 0.6208 0.9624
0.8696 0.3166 11622 0.7201 0.9389
0.7151 0.7538 16775 0.633 0.9666
0.8701 0.3792 15205 0.7085 0.9689
0.7283 0.4404 10271 0.4851 0.9196
0.8504 0.2911 4559 0.7212 0.9035
0.898 0.2387 4177 0.7422 0.9469
0.8 0.7001 11224 0.7214 0.9834
0.8116 0.3968 8215 0.7279 0.8666
0.867 0.3189 26089 0.7184 0.9365
0.7717 0.6927 47397 0.6827 0.9725
0.7405 0.7881 28340 0.6759 0.9807
0.5989 0.9393 8017 0.5756 0.9589
0.8895 0.0835 10023 0.724 0.9045
0.8517 0.3629 11599 0.7059 0.9348
0.8156 0.4741 12666 0.6839 0.9342
0.6824 0.7755 12901 0.5984 0.9727
0.7958 0.5156 8537 0.6592 0.9412
0.8619 0.29 20937 0.6983 0.9287
0.7817 0.5623 14143 0.6642 0.9326
0.8549 0.4383 15500 0.732 0.9508
0.8247 0.3287 8258 0.6164 0.9266
0.8206 0.4564 34958 0.6393 0.9727
0.8325 0.3975 8818 0.6636 0.9439
0.8569 0.3258 12274 0.6839 0.9404
0.8407 0.3709 20574 0.6902 0.9295
0.6789 0.8389 27142 0.6199 0.9863
0.7997 0.4206 19827 0.6218 0.9289
0.7244 0.6973 22904 0.6092 0.9899
0.7253 0.8045 24257 0.6616 0.9871
0.8535 0.3935 10774 0.7179 0.9415
0.738 0.7023 19129 0.6436 0.9607
0.7991 0.5512 25458 0.6767 0.9495
0.8112 0.4899 12434 0.6552 0.9611
0.8625 0.1631 11996 0.6111 0.9114
0.8479 0.3798 15906 0.663 0.9611
0.6632 0.8307 20557 0.5987 0.9796
0.7367 0.6316 13908 0.6061 0.9606
0.6963 0.6685 22308 0.5663 0.9585
0.8678 0.2401 7214 0.6992 0.921
0.8242 0.358 5394 0.6991 0.894
0.8119 0.4635 26344 0.6328 0.9667
0.8763 0.2418 13792 0.7238 0.9249
0.8551 0.1715 11887 0.6675 0.894
0.7066 0.7734 8715 0.6341 0.9539
0.7587 0.5829 16537 0.6096 0.9671
0.8172 0.3978 11547 0.6377 0.9357
0.691 0.8951 11856 0.6585 0.9686
0.8117 0.3452 11632 0.61 0.9181
0.8608 0.1748 11098 0.6392 0.9077
0.6799 0.817 21531 0.6165 0.963
0.674 0.7015 21145 0.5529 0.9585
0.766 0.5776 14124 0.6204 0.9651
0.8949 0.1799 10158 0.6924 0.9393
0.8538 0.0889 9093 0.6386 0.8748
0.6088 0.9093 14451 0.573 0.968
0.8586 0.2187 13358 0.6571 0.915
0.7765 0.6956 29630 0.6821 0.9921
0.6396 0.8488 38287 0.5867 0.9366
0.8141 0.4006 10209 0.6447 0.9273
0.9002 0.2135 10375 0.6745 0.9615
0.5899 0.7589 12461 0.4682 0.973
0.8246 0.3803 11620 0.6135 0.9542
0.8358 0.5057 15370 0.6982 0.9767
0.7392 0.756 34182 0.665 0.9691
0.9696 0.0739 17559 0.7404 0.9879
0.9336 0.1397 24115 0.7201 0.9682
0.973 0.0508 76767 0.8539 0.9794
0.9198 0.069 15032 0.8862 0.9223
0.9511 0.1413 19481 0.7751 0.98
0.9415 0.0738 20912 0.7738 0.9549
0.9561 0.096 18387 0.762 0.9767
0.9611 0.053 16512 0.7554 0.9726
0.9564 0.109 17659 0.8265 0.9723
0.9496 0.1428 16152 0.8005 0.9744
0.9099 0.2037 12555 0.6535 0.9755
0.9758 0.0928 240901 0.8971 0.9839
0.9421 0.0579 21466 0.7804 0.952
0.9609 0.0994 23829 0.7965 0.9791
0.9525 0.0785 13356 0.7235 0.972
0.9601 0.1 24794 0.7701 0.9812
0.9284 0.1472 10623 0.7807 0.9539
0.9696 0.0673 14689 0.729 0.987
0.9585 0.0734 12401 0.7264 0.9769
0.8658 0.1158 14159 0.6543 0.8935
0.8828 0.0878 14190 0.7697 0.8937
0.964 0.0844 27330 0.7977 0.9793
0.9538 0.147 18329 0.7769 0.9843
0.9748 0.0513 11409 0.8068 0.9838
0.9656 0.0937 21135 0.8141 0.9813
0.9515 0.0564 16608 0.794 0.9609
0.9645 0.0681 19432 0.7846 0.9777
0.9713 0.0527 64617 0.7946 0.9811
0.9631 0.0676 572262 0.876 0.9694
0.9511 0.1263 23521 0.7993 0.973
0.9537 0.0514 7211 0.6792 0.9686
0.941 0.1622 59044 0.9196 0.9451
0.943 0.0523 54084 0.8614 0.9475
0.9592 0.0674 113938 0.8557 0.9667
0.9467 0.0733 16015 0.8995 0.9504
0.9601 0.0622 30474 0.914 0.9631
0.9589 0.088 78181 0.9009 0.9645
0.9589 0.1222 21771 0.844 0.9749
0.8493 0.2394 21042 0.6665 0.9068
0.8378 0.0757 8161 0.6699 0.8515
0.7783 0.5093 17933 0.6581 0.9032
0.7951 0.4154 22128 0.6615 0.8901
0.8086 0.568 16236 0.7238 0.92
0.747 0.4532 12761 0.591 0.8762
0.7664 0.365 10125 0.6388 0.8398
0.9041 0.1669 36853 0.8262 0.9197
0.8208 0.1193 15407 0.6703 0.8412
0.8431 0.2304 18730 0.7022 0.8853
0.8135 0.1149 14422 0.6626 0.8331
0.7924 0.3778 4052 0.659 0.8735
0.8334 0.1654 10177 0.6744 0.865
0.739 0.4938 10604 0.5903 0.8839
0.8825 0.1206 19608 0.7961 0.8944
0.821 0.3249 16315 0.6796 0.8891
0.8137 0.5401 8069 0.7451 0.8944
0.819 0.1893 20897 0.6595 0.8562
0.7698 0.3104 19846 0.6886 0.8063
0.7903 0.5582 18895 0.6865 0.9213
0.8058 0.4197 25521 0.6919 0.8883
0.8548 0.3228 5523 0.7173 0.9203
0.9206 0.105 3515 0.8889 0.9243
0.8436 0.1301 21258 0.6753 0.8688
0.8121 0.166 9720 0.6561 0.8432
0.8008 0.3509 17981 0.696 0.8575
